sensor_id,timestamp,temperature,humidity,pressure,status
S001,2025-06-01 00:00:00,25.3,68.2,1013.2,active
S002,2025-06-01 00:00:01,26.1,65.0,1012.8,active
S003,2025-06-01 00:00:02,24.8,70.1,1014.0,active
S001,2025-06-01 00:01:00,25.4,68.0,1013.1,active
S002,2025-06-01 00:01:01,26.2,64.8,1012.7,active
S003,2025-06-01 00:01:02,24.9,70.0,1014.1,active
S001,2025-06-01 00:02:00,25.5,67.9,1013.0,active
S002,2025-06-01 00:02:01,26.3,64.5,1012.6,active
S003,2025-06-01 00:02:02,25.0,69.8,1014.2,active
S001,2025-06-01 00:03:00,25.6,67.5,1012.9,active
S002,2025-06-01 00:03:01,26.4,64.2,1012.5,active
S003,2025-06-01 00:03:02,25.1,69.5,1014.3,active
S001,2025-06-01 00:04:00,25.7,67.3,1012.8,active
S002,2025-06-01 00:04:01,26.5,64.0,1012.4,active
S003,2025-06-01 00:04:02,25.2,69.3,1014.4,active
